1000,4,8275,0
1000,8,8518,0
1000,16,9469,0
1000,32,12418,0
1000,64,19630,0
5000,4,53033,0
5000,8,53358,0
5000,16,55060,0
5000,32,62401,0
5000,64,81915,0
10000,4,116106,1
10000,8,116742,1
10000,16,120026,1
10000,32,135112,0
10000,64,175329,1
100000,4,1497379,14
100000,8,1498173,13
100000,16,1564797,13
100000,32,1777253,12
100000,64,2292976,11
1000000,4,18260765,132
1000000,8,18421294,126
1000000,16,19440355,116
1000000,32,22317168,130
1000000,64,28988765,143
2000000,4,38523761,250
2000000,8,38848814,242
2000000,16,40886490,231
2000000,32,46632290,219
2000000,64,59952316,226
8000000,4,170094231,1069
8000000,8,171378307,1037
8000000,16,179537169,1010
8000000,32,202536073,961
8000000,64,255839501,958
16000000,4,356180075,2197
16000000,8,358754617,2154
16000000,16,375055614,2063
16000000,32,421079287,2059
16000000,64,527701042,1869
